Input_host,Assigned_host,Assigned_method,Eval,Final_host,Version,Source
wampee ing,False,not_assigned,True,unknown,20231103,IsolationSource
warsaw area,False,not_assigned,True,unknown,20231103,IsolationSource
waste sludge,False,not_assigned,True,unknown,20231103,IsolationSource
water,False,not_assigned,False,environmental,20231103,Host
water from,False,not_assigned,False,environmental,20231103,Host
water sink,False,not_assigned,True,environmental,20231103,IsolationSource
wax moth,False,not_assigned,False,Galleria mellonella,20231103,Host
waxworms gut,False,not_assigned,False,Galleria mellonella,20231103,IsolationSource
weathered rock,False,not_assigned,True,unknown,20231103,IsolationSource
weathered tuff,False,not_assigned,True,unknown,20231103,IsolationSource
weed,False,not_assigned,False,Cannabis,20231103,Host
weever,False,not_assigned,True,unknown,20231103,IsolationSource
wei dai,False,not_assigned,True,unknown,20231103,Host
well,False,not_assigned,True,unknown,20231103,IsolationSource
"wenzhou, china",False,not_assigned,True,unknown,20231103,IsolationSource
western north,False,not_assigned,True,unknown,20231103,IsolationSource
wet market,False,not_assigned,True,unknown,20231103,IsolationSource
wheat beer,False,not_assigned,False,Triticum aestivum,20231103,IsolationSource
wheat germ,False,not_assigned,False,Triticum aestivum,20231103,IsolationSource
whey culture,False,not_assigned,True,unknown,20231103,IsolationSource
white elm,False,not_assigned,False,Ulmus laevis,20231103,Host
white radish,False,not_assigned,False,Raphanus sativus var. sativus,20231103,Host
whitebreasted nuthatch,False,not_assigned,False,Sitta carolinensis,20231103,Host
whitecrowned rrow,False,not_assigned,True,unknown,20231103,IsolationSource
whiteleg shrimp,False,not_assigned,False,Penaeus vannamei,20231103,Host
whiterot fungus,False,not_assigned,True,unknown,20231103,IsolationSource
whole fish,False,not_assigned,False,Fungi,20231103,IsolationSource
wiener sausage,False,not_assigned,True,unknown,20231103,IsolationSource
wine,False,not_assigned,True,unknown,20231103,IsolationSource
winter pickled,False,not_assigned,True,False,20231103,IsolationSource
winter wheat,False,not_assigned,False,Triticum aestivum,20231103,Host
wolfram mine,False,not_assigned,True,unknown,20231103,IsolationSource
woodchip bioreactor,False,not_assigned,True,unknown,20231103,IsolationSource
wool from,False,not_assigned,True,unknown,20231103,IsolationSource
worm bin,False,not_assigned,True,unknown,20231103,IsolationSource
wound,False,not_assigned,True,unknown,20231103,IsolationSource
wwtp active,False,not_assigned,True,unknown,20231103,IsolationSource
wwtps effluent,False,not_assigned,True,unknown,20231103,IsolationSource
xiaochaidan salt,False,not_assigned,True,unknown,20231103,IsolationSource
xinyang blackfeather,False,not_assigned,True,unknown,20231103,Host
yak  milk,False,not_assigned,False,Bos grunniens,20231103,IsolationSource
yak feces,False,not_assigned,False,Bos grunniens,20231103,IsolationSource
yak milk,False,not_assigned,False,Bos grunniens,20231103,IsolationSource
yeongdeukgun,False,not_assigned,True,unknown,20231103,IsolationSource
yeshanjun pickle,False,not_assigned,True,unknown,20231103,IsolationSource
yogurt,False,not_assigned,True,unknown,20231103,IsolationSource
yogurts,False,not_assigned,True,unknown,20231103,IsolationSource
young radish,False,not_assigned,True,unknown,20231103,IsolationSource
yunnan silkie,False,not_assigned,True,unknown,20231103,Host
zc4 compost,False,not_assigned,True,unknown,20231103,IsolationSource
zooplankton aquaculture,False,not_assigned,True,False,20231103,IsolationSource
favia,Favia,ete3,True,Favia,20231103,Host
cat,Felis catus,ncbi_taxonomy,True,Felis catus,20231103,Host
felis catus,Felis catus,ete3,True,Felis catus,20231103,Host
felix catus,Felis catus,fuzzy_sci,True,Felis catus,20231103,Host
ficus benjamina,Ficus benjamina,ete3,True,Ficus benjamina,20231103,Host
ficus microcarpa,Ficus microcarpa,ete3,True,Ficus microcarpa,20231103,Host
ficus religiosa l.,Ficus religiosa,fuzzy_sci,True,Ficus religiosa,20231103,Host
bluespotted cornetfish,Fistularia commersonii,ncbi_taxonomy,True,Fistularia commersonii,20231103,IsolationSource
flammulina filiformis,Flammulina filiformis,ete3,True,Flammulina filiformis,20231103,Host
fragariae ananassa,Fragaria x ananassa,fuzzy_sci,True,Fragaria x ananassa,20231103,Host
strawberry,Fragaria x ananassa,ncbi_taxonomy,True,Fragaria x ananassa,20231103,Host
frieseomelitta varia,Frieseomelitta varia,ete3,True,Frieseomelitta varia,20231103,Host
fulmars,Fulmarus,fuzzy_sci,True,Fulmarus,20231103,Host
fungi,Fungi,ete3,True,Fungi,20231103,Host
fusarium oxysporum f. sp. cucumerinum,Fusarium oxysporum f. sp. cucumerinum,ete3,True,Fusarium oxysporum f. sp. cucumerinum,20231103,Host
gaillardia,Gaillardia,ete3,True,Gaillardia,20231103,Host
galaxea fascicularis,Galaxea fascicularis,ete3,True,Galaxea fascicularis,20231103,Host
galega,Galega,ete3,True,Galega,20231103,Host
galega officinalis  nodule,Galega officinalis,fuzzy_sci,True,Galega officinalis,20231103,IsolationSource
galega orientalis  nodule,Galega orientalis,fuzzy_sci,True,Galega orientalis,20231103,IsolationSource
galleria mellonella,Galleria mellonella,ete3,True,Galleria mellonella,20231103,Host
gallus,Gallus,ete3,True,Gallus,20231103,Host
a feces sample of chicken origin,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
animal-chicken-young chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
bioaerosol of a chicken farm,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
braised chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
broiler chick cecum,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
broiler chicken farm,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken,Gallus gallus,ncbi_taxonomy,True,Gallus gallus,20231103,Host
chicken airsac (gallus gallus),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken blood (gallus gallus),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken breast,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken breasts,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken caecal content,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken caecum,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken carcass,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken carcass (gallus gallus),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken cecal content,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken cecum,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken drumstick,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken dung,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken faeces,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken fecal,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken feces,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken feed,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken gizzard,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken gizzard (gallus gallus),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken heart (gallus gallus),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken legs,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken liver,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken liver with fowl typhoid,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken lung (gallus gallus),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken manure,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken meat,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken meat and conveyer belt,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken meat inner strip,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken meat products,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken meats,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken mixed parts,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken skin,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken thighs,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken tissue,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken tissues,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken whole - cut in lab,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chicken wings,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
chickens,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
cold-stored modified atmosphere packaged broiler filet strips with the first signs of spoilage,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
comminuted chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
curcuma wenyujin y.h. chen et c. ling,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,Host
farm kitchen,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
gallus gallus,Gallus gallus,ete3,True,Gallus gallus,20231103,Host
gallus gallus domesticus,Gallus gallus,ete3,True,Gallus gallus,20231103,Host
ground chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
healthy broiler chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
henan,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
internal organs of chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
laying hen,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
lichen surface,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
liver and spleen of chicken (broiler),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
marinated raw chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
market chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
organic chicken farm,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
parthenium argentatum gray (guayule shrubs),Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,Host
pooled faeces sample collected from floor of poultry farm,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
poultry carcass,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
poultry farm,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
poultry meat,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,Host
poultry rinse,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
qingyuan chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
raw intact chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
retail chichen,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
retail chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
retail chicken gizzard,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
retail chicken liver,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
retail chicken meat,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
shengli oilfield,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
sick organs of a dead chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,IsolationSource
xinyang black-feather laying hens,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,Host
yunnan silkie chicken,Gallus gallus,chicken_synonym,True,Gallus gallus,20231103,Host
gallus gallus (chicken),Gallus gallus gallus,fuzzy_sci,False,Gallus gallus,20231103,Host
geodia barretti,Geodia barretti,ete3,True,Geodia barretti,20231103,Host
geranium,Geranium,ete3,True,Geranium,20231103,Host
geronticus eremita,Geronticus eremita,ete3,True,Geronticus eremita,20231103,Host
geum aleppicum,Geum aleppicum,ete3,True,Geum aleppicum,20231103,IsolationSource
gladiolus,Gladiolus,ete3,True,Gladiolus,20231103,IsolationSource
gliricidia sp.,Gliricidia,fuzzy_sci,True,Gliricidia,20231103,Host
glossina brevipalpis,Glossina brevipalpis,ete3,True,Glossina brevipalpis,20231103,Host
glossina morsitans morsitans,Glossina morsitans morsitans,ete3,True,Glossina morsitans morsitans,20231103,Host
glycine,Glycine,ete3,True,Glycine,20231103,Host
glycine max,Glycine max,ete3,True,Glycine max,20231103,Host
glycine max (l.,Glycine max,fuzzy_sci,True,Glycine max,20231103,Host
soybean,Glycine max,ncbi_taxonomy,True,Glycine max,20231103,Host
soybean cv,Glycine max,fuzzy_common,True,Glycine max,20231103,Host
soybeans,Glycine max,ncbi_taxonomy,True,Glycine max,20231103,IsolationSource
glycine soja,Glycine soja,ete3,True,Glycine soja,20231103,Host
gopherus berlandieri,Gopherus berlandieri,ete3,True,Gopherus berlandieri,20231103,Host
cotton,Gossypium hirsutum,ncbi_taxonomy,True,Gossypium hirsutum,20231103,Host
gossypium hirsutum,Gossypium hirsutum,ete3,True,Gossypium hirsutum,20231103,Host
gracilaria,Gracilaria,ete3,True,Gracilaria,20231103,Host
black-collared starling,Gracupica nigricollis,ncbi_taxonomy,True,Gracupica nigricollis,20231103,IsolationSource
grateloupia sp.,Grateloupia sp.,ete3,True,Grateloupia sp.,20231103,Host
grus grus,Grus grus,ete3,True,Grus grus,20231103,Host
gypsophila paniculata,Gypsophila paniculata,ete3,True,Gypsophila paniculata,20231103,Host
haemaphysalis juxtakochi,Haemaphysalis juxtakochi,ete3,True,Haemaphysalis juxtakochi,20231103,Host
halichondria panicea,Halichondria panicea,ete3,True,Halichondria panicea,20231103,Host
haliclona simulans,Haliclona simulans,ete3,True,Haliclona simulans,20231103,Host
haliotis discus hannai,Haliotis discus hannai,ete3,True,Haliotis discus hannai,20231103,Host
halyomorpha halys,Halyomorpha halys,ete3,True,Halyomorpha halys,20231103,Host
harpadon nehereus,Harpadon nehereus,ete3,True,Harpadon nehereus,20231103,Host
helianthus annuus,Helianthus annuus,ete3,True,Helianthus annuus,20231103,Host
helicobacter pylori,Helicobacter pylori,ete3,True,Helicobacter pylori,20231103,Host
helicoverpa armigera,Helicoverpa armigera,ete3,True,Helicoverpa armigera,20231103,Host
hexacorallia,Hexacorallia,ete3,True,Hexacorallia,20231103,Host
hexagrammos agrammus,Hexagrammos agrammus,ete3,True,Hexagrammos agrammus,20231103,Host
insect,Hexapoda,fuzzy_common,True,Hexapoda,20231103,Host
hibiscus,Hibiscus,ete3,True,Hibiscus,20231103,Host
hibiscus rosa-sinensis,Hibiscus rosa-sinensis,ete3,True,Hibiscus rosa-sinensis,20231103,Host
himantormia,Himantormia,ete3,True,Himantormia,20231103,Host
hippocampus kuda,Hippocampus kuda,ete3,True,Hippocampus kuda,20231103,Host
hippopotamus amphibius,Hippopotamus amphibius,ete3,True,Hippopotamus amphibius,20231103,Host
hirudo verbana,Hirudo verbana,ete3,True,Hirudo verbana,20231103,Host
homo,Homo,ete3,True,Homo,20231103,Host
"antibiotic associated diarrhea, human",Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
ascites of a male patient with complicated abdominal infection,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
blood of a hospitalized patient,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
cereal-based food (noodle) for infant,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
children,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
clinical patient,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
clinical sample of a patient suspected with bacterial infection,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
diarrheal patient,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
faeces of baby,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
female,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
female of golden lion tamarin,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
from patient with pneumonia,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
from patient with wound infection,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
healthy human (stool),Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
himo sapiens,Homo sapiens,fuzzy_sci,True,Homo sapiens,20231103,Host
homo sapiens,Homo sapiens,ete3,True,Homo sapiens,20231103,Host
homo sapiens (female),Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
homo sapiens (respiratory patient),Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
homo sapiens; female,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
homo-sapiens,Homo sapiens,ncbi_taxonomy,True,Homo sapiens,20231103,Host
homosapiens,Homo sapiens,fuzzy_sci,True,Homo sapiens,20231103,Host
hono sapiens,Homo sapiens,fuzzy_sci,True,Homo sapiens,20231103,Host
hospitalized patients,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human (92 yr old woman),Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
"human (male, 4.5 yrs)",Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
human blood,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human body fluids,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
human case of meningitis,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human cell culture,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human clinical,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human clinical (blood),Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human clinical sample,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human clinical sample (fatal pneumonic plague),Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human clinical specimen,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human faeces,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human fecal sample,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human fecal samples,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human feces,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
"human feces (woman, 24 years old)",Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
"human feces (woman, 60 years old)",Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human feces of different individuals,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human gi tract,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human gut,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
human oral,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
human pleural fluid,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human saliva,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human septic tank,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human skin,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
human skin swab,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
"human skin, forehead (bedrest study)",Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human stool,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human tissue biopsy,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
human urine sample,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
icu patient oral swab,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
icu patient rectal swab,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
infant,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
infant feces,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
infant food,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
infants,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
intubated patient,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
isolated from blood of a patient with liver abscess and meningitis,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
korean adult feces,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
korean infant feces,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
non-human,Homo sapiens,human_synonym,False,unknown,20231103,Host
omo sapiens,Homo sapiens,fuzzy_sci,True,Homo sapiens,20231103,Host
patient,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
pediculus humanus corporis,Homo sapiens,human_synonym,False,Pediculus humanus corporis,20231103,Host
people,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
severely burned patient,Homo sapiens,human_synonym,True,Homo sapiens,20231103,Host
sputum (cystic fibrosis patient),Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
stool (adult),Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
stool (infant),Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
stool of 63 year old male,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
"stool of a patient presenting with scarlet-like fever in the primorski region of the former ussr; in 1971 sent to the institut pasteur (paris, france) by dr. timofeeva (antiplague institute, irkoutsk)",Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
the blood culture and the peritoneal dialysis effluent of two patients,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
the feces of breast-fed infants,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
vomit of food poisoning patient,Homo sapiens,human_synonym,True,Homo sapiens,20231103,IsolationSource
homona magnanima,Homona magnanima,ete3,True,Homona magnanima,20231103,Host
yarrow,Hoplerythrinus unitaeniatus,ncbi_taxonomy,True,Hoplerythrinus unitaeniatus,20231103,Host
hordeum vulgare,Hordeum vulgare,ete3,True,Hordeum vulgare,20231103,Host
humulus lupulus,Humulus lupulus,ete3,True,Humulus lupulus,20231103,Host
hyacinthus orientalis,Hyacinthus orientalis,ete3,True,Hyacinthus orientalis,20231103,Host
hyadaphis tataricae,Hyadaphis tataricae,ete3,True,Hyadaphis tataricae,20231103,Host
hydrangea arborescens,Hydrangea arborescens,ete3,True,Hydrangea arborescens,20231103,Host
hydrangea macrophylla,Hydrangea macrophylla,ete3,True,Hydrangea macrophylla,20231103,Host
hydrophilus acuminatus,Hydrophilus acuminatus,ete3,True,Hydrophilus acuminatus,20231103,Host
hymeniacidon perlevis,Hymeniacidon perlevis,ete3,True,Hymeniacidon perlevis,20231103,Host
hymenochaete rubiginosa,Hymenochaete rubiginosa,ete3,True,Hymenochaete rubiginosa,20231103,Host
bighead carp,Hypophthalmichthys nobilis,ncbi_taxonomy,True,Hypophthalmichthys nobilis,20231103,Host
ictalurus furcatus,Ictalurus furcatus,ete3,True,Ictalurus furcatus,20231103,Host
channel catfish,Ictalurus punctatus,ncbi_taxonomy,True,Ictalurus punctatus,20231103,IsolationSource
ictalurus punctatus,Ictalurus punctatus,ete3,True,Ictalurus punctatus,20231103,Host
iguana,Iguana,ete3,True,Iguana,20231103,IsolationSource
illicium verum,Illicium verum,ete3,True,Illicium verum,20231103,Host
indosasa shibataeoides,Indosasa shibataeoides,ete3,True,Indosasa shibataeoides,20231103,Host
ipomoea aquatic,Ipomoea aquatica,fuzzy_sci,True,Ipomoea aquatica,20231103,Host
ipomoea batatas,Ipomoea batatas,ete3,True,Ipomoea batatas,20231103,Host
sweet potato,Ipomoea batatas,ncbi_taxonomy,True,Ipomoea batatas,20231103,IsolationSource
ips typographus,Ips typographus,ete3,True,Ips typographus,20231103,Host
iridomyrmex purpureus,Iridomyrmex purpureus,ete3,True,Iridomyrmex purpureus,20231103,Host
ischnocodia annulus,Ischnocodia annulus,ete3,True,Ischnocodia annulus,20231103,Host
ixodes ovatus,Ixodes ovatus,ete3,True,Ixodes ovatus,20231103,Host
ixodes pacificus,Ixodes pacificus,ete3,True,Ixodes pacificus,20231103,Host
western blackleg tick,Ixodes pacificus,fuzzy_common,True,Ixodes pacificus,20231103,Host
ixodes persulcatus,Ixodes persulcatus,ete3,True,Ixodes persulcatus,20231103,Host
ixodes ricinus,Ixodes ricinus,ete3,True,Ixodes ricinus,20231103,Host
ixodes scapularis,Ixodes scapularis,ete3,True,Ixodes scapularis,20231103,Host
ixodes spinipalpis,Ixodes spinipalpis,ete3,True,Ixodes spinipalpis,20231103,IsolationSource
ixodes stilesi,Ixodes stilesi,ete3,True,Ixodes stilesi,20231103,Host
ixodiphagus hookeri,Ixodiphagus hookeri,ete3,True,Ixodiphagus hookeri,20231103,Host
ixora coccinea l.,Ixora coccinea,fuzzy_sci,True,Ixora coccinea,20231103,Host
jalysus wickhami,Jalysus wickhami,ete3,True,Jalysus wickhami,20231103,Host
walnut,Juglans,fuzzy_common,True,Juglans,20231103,Host
kareius bicoloratus,Kareius bicoloratus,ete3,True,Kareius bicoloratus,20231103,Host
konosirus punctatus,Konosirus punctatus,ete3,True,Konosirus punctatus,20231103,IsolationSource
kummerowia stipulacea,Kummerowia stipulacea,ete3,True,Kummerowia stipulacea,20231103,Host
diseased labeo,Labeo labeo,fuzzy_sci,True,Labeo labeo,20231103,IsolationSource
lactuca sp.,Lactuca,fuzzy_sci,True,Lactuca,20231103,Host
lactuca sativa,Lactuca sativa,ete3,True,Lactuca sativa,20231103,Host
lactuca sativa l. var. longifolia,Lactuca sativa var. longifolia,fuzzy_sci,True,Lactuca sativa var. longifolia,20231103,Host
lagenorhynchus acutus,Lagenorhynchus acutus,ete3,True,Lagenorhynchus acutus,20231103,Host
lagria villosa,Lagria villosa,ete3,True,Lagria villosa,20231103,Host
lama glama,Lama glama,ete3,True,Lama glama,20231103,Host
laodelphax striatellus,Laodelphax striatellus,ete3,True,Laodelphax striatellus,20231103,Host
larus sp.,Largus sp.,fuzzy_sci,True,Largus sp.,20231103,Host
gull,Laridae,ete3,True,Laridae,20231103,Host
larimichthys crocea,Larimichthys crocea,ete3,True,Larimichthys crocea,20231103,Host
larus michahellis,Larus michahellis,ete3,True,Larus michahellis,20231103,Host
lates calcarifer,Lates calcarifer,ete3,True,Lates calcarifer,20231103,Host
lathyrus sativus,Lathyrus sativus,ete3,True,Lathyrus sativus,20231103,Host
lavender,Lavandula angustifolia,ncbi_taxonomy,True,Lavandula angustifolia,20231103,Host
lebbeus groenlandicus,Lebbeus groenlandicus,ete3,True,Lebbeus groenlandicus,20231103,Host
lebeckia ambigua,Lebeckia ambigua,ete3,True,Lebeckia ambigua,20231103,Host
leiosporoceros dussii,Leiosporoceros dussii,ete3,True,Leiosporoceros dussii,20231103,Host
lemna minor,Lemna minor,ete3,True,Lemna minor,20231103,Host
lentil,Lens culinaris,ncbi_taxonomy,True,Lens culinaris,20231103,Host
lentils,Lens culinaris,fuzzy_common,True,Lens culinaris,20231103,IsolationSource
leontopodium alpinum,Leontopodium alpinum,ete3,True,Leontopodium alpinum,20231103,Host
leontopodium nivale,Leontopodium nivale,ete3,True,Leontopodium nivale,20231103,Host
leptinotarsa decemlineata,Leptinotarsa decemlineata,ete3,True,Leptinotarsa decemlineata,20231103,Host
leptoglossus zonatus,Leptoglossus zonatus,ete3,True,Leptoglossus zonatus,20231103,Host
